ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
219,2013,2013,2013,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.3,,,28,28.6,"457,487",,,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,0,,,,
23013,2013,2013,2013,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32.4,,,30.8,34.1,"6,244",32.84057112,-86.63186076,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,1,,,,
29605,2013,2013,2013,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.4,,,26.5,30.4,"4,396",64.84507996,-147.722059,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,2,,,,
11195,2013,2013,2013,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.8,,,24.3,29.4,"4,029",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
11194,2013,2013,2013,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.6,,,32.7,36.6,"5,023",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
25052,2013,2013,2013,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.1,,,23,25.3,"10,669",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
14135,2013,2013,2013,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,21.3,,,20.4,22.2,"12,920",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
36723,2013,2013,2013,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25,,,23.5,26.4,"7,309",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
33869,2013,2013,2013,DE,Delaware,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.1,,,29.3,32.8,"4,893",39.00883067,-75.57774117,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,10,,,,
33299,2013,2013,2013,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,22.9,,,21,24.8,"4,705",38.89037139,-77.03196113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,11,,,,
22801,2013,2013,2013,FL,Florida,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.4,,,25.3,27.4,"32,552",28.93204038,-81.92896054,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,12,,,,
