Date,State,Percentage,Lower Limit, Upper Limit
2012,Alabama,11.1,10.3,11.9
2012,Alaska,7.2,6.2,8.3
2012,Arizona,10.1,9,11.3
2012,Arkansas,10.2,9.3,11.2
2012,California,9.6,8.9,10.2
2012,Colorado,7.2,6.6,7.8
2012,Connecticut,8.1,7.4,9
2012,Delaware,8.7,7.8,9.7
2012,District of Columbia,8.9,7.8,10.1
2012,Florida,9.9,8.9,10.9
2012,Georgia,9.6,8.8,10.5
2012,Hawaii,7,6.1,8
2012,Idaho,7.8,6.9,8.8
2012,Illinois,8.9,7.9,9.9
2012,Indiana,10.1,9.4,10.8
2012,Iowa,8.6,8,9.3
2012,Kansas,8.8,8.2,9.4
2012,Kentucky,9.7,9,10.5
2012,Louisiana,11.5,10.6,12.4
2012,Maine,8.2,7.6,8.9
2012,Maryland,9.4,8.7,10.1
2012,Massachusetts,7.7,7.2,8.2
2012,Michigan,9.4,8.7,10.1
2012,Minnesota,6.8,6.3,7.4
2012,Mississippi,11.7,10.9,12.6
2012,Missouri,9.6,8.7,10.5
2012,Montana,6.2,5.7,6.8
2012,Nebraska,7.4,7,7.9
2012,Nevada,8.4,7.4,9.7
2012,New Hampshire,7.8,7.2,8.4
2012,New Jersey,8.4,7.9,9
2012,New Mexico,9.4,8.7,10.1
2012,New York,9,8.1,10
2012,North Carolina,9.7,9.1,10.3
2012,North Dakota,7.8,7,8.7
2012,Ohio,10.4,9.8,11.1
2012,Oklahoma,10.6,9.9,11.3
2012,Oregon,9.1,8.2,10
2012,Pennsylvania,8.9,8.4,9.4
2012,Rhode Island,8.8,8,9.8
2012,South Carolina,10.5,9.9,11.2
2012,South Dakota,7,6.3,7.9
2012,Tennessee,10.8,10,11.7
2012,Texas,10.6,9.9,11.4
2012,Utah,7.8,7.3,8.4
2012,Vermont,6.4,5.7,7.2
2012,Virginia,9.8,9.1,10.6
2012,Washington,8.2,7.7,8.8
2012,West Virginia,11.1,10.3,12
2012,Wisconsin,7.5,6.6,8.5
2012,Wyoming,8.4,7.5,9.4
2012,Guam,10.3,8.7,12.1
2012,Puerto Rico,15.2,14.3,16.1
