Date,State,Percentage,Lower Limit, Upper Limit
2014,Alabama,11.8,11,12.6
2014,Alaska,7.6,6.7,8.7
2014,Arizona,9.1,8.5,9.7
2014,Arkansas,11.5,10.4,12.6
2014,California,9.9,9.2,10.6
2014,Colorado,6.9,6.5,7.4
2014,Connecticut,8,7.3,8.7
2014,Delaware,9.7,8.7,10.8
2014,District of Columbia,9.1,8,10.4
2014,Florida,9.4,8.7,10.1
2014,Georgia,11,10.2,11.9
2014,Hawaii,8.9,8,9.9
2014,Idaho,7,6.3,7.9
2014,Illinois,9.4,8.5,10.3
2014,Indiana,9.7,9.2,10.4
2014,Iowa,8.3,7.7,9
2014,Kansas,9.5,9,10
2014,Kentucky,11.3,10.5,12.2
2014,Louisiana,10.4,9.7,11.2
2014,Maine,7.8,7.2,8.4
2014,Maryland,9.2,8.5,9.9
2014,Massachusetts,8.8,8.2,9.5
2014,Michigan,9,8.4,9.6
2014,Minnesota,7.5,7,7.9
2014,Mississippi,11.9,10.8,13.1
2014,Missouri,10,9.1,11
2014,Montana,7.6,6.9,8.4
2014,Nebraska,8.4,7.9,8.9
2014,Nevada,8.8,7.7,10
2014,New Hampshire,7.8,7.1,8.7
2014,New Jersey,8.6,8,9.3
2014,New Mexico,10.4,9.6,11.3
2014,New York,9.2,8.4,10
2014,North Carolina,9.8,9.1,10.6
2014,North Dakota,8,7.2,8.8
2014,Ohio,10.3,9.6,11
2014,Oklahoma,10.9,10.2,11.6
2014,Oregon,8,7.2,8.8
2014,Pennsylvania,9.6,9,10.3
2014,Rhode Island,8.3,7.6,9
2014,South Carolina,10.7,10.1,11.4
2014,South Dakota,8.2,7.2,9.3
2014,Tennessee,11.7,10.6,12.8
2014,Texas,10.8,10.1,11.5
2014,Utah,7.7,7.2,8.1
2014,Vermont,6.9,6.3,7.7
2014,Virginia,9,8.4,9.6
2014,Washington,8.2,7.6,8.8
2014,West Virginia,12,11.2,12.9
2014,Wisconsin,8,7.2,8.8
2014,Wyoming,7.8,6.9,8.7
2014,Guam,11.6,10.1,13.3
2014,Puerto Rico,14.2,13.3,15.1
