Date,State,Percentage,Lower Limit, Upper Limit
2016,Alabama,13.2,12.2,14.2
2016,Alaska,7.7,6.5,9.2
2016,Arizona,9.7,9,10.5
2016,Arkansas,12.1,10.8,13.5
2016,California,9.7,9,10.4
2016,Colorado,6.2,5.8,6.6
2016,Connecticut,8.5,7.9,9.1
2016,Delaware,9.1,8.1,10.2
2016,District of Columbia,8.4,7.6,9.3
2016,Florida,9.8,9.2,10.4
2016,Georgia,11.4,10.5,12.4
2016,Hawaii,9.5,8.7,10.4
2016,Idaho,8.1,7.3,9
2016,Illinois,9.5,8.7,10.5
2016,Indiana,10.4,9.8,11.1
2016,Iowa,8.1,7.5,8.8
2016,Kansas,8.5,8,9
2016,Kentucky,11.8,10.9,12.7
2016,Louisiana,11.1,10.1,12.2
2016,Maine,8.5,7.8,9.2
2016,Maryland,9.8,9.2,10.4
2016,Massachusetts,8.3,7.6,9
2016,Michigan,9.8,9.2,10.4
2016,Minnesota,7.6,7.1,8
2016,Mississippi,12.4,11.4,13.5
2016,Missouri,10.2,9.4,11.2
2016,Montana,6.9,6.2,7.7
2016,Nebraska,8,7.5,8.6
2016,Nevada,10.1,9.1,11.3
2016,New Hampshire,7.7,7,8.5
2016,New Jersey,8.1,7.3,8.9
2016,New Mexico,10.4,9.4,11.4
2016,New York,9.4,8.9,10
2016,North Carolina,10.1,9.3,10.9
2016,North Dakota,8.2,7.4,9
2016,Ohio,9.7,9,10.3
2016,Oklahoma,10.9,10.1,11.8
2016,Oregon,8.4,7.6,9.2
2016,Pennsylvania,9.6,8.8,10.4
2016,Rhode Island,8.6,7.8,9.5
2016,South Carolina,11.5,10.8,12.2
2016,South Dakota,6.9,6.1,7.8
2016,Tennessee,11.2,10.3,12.1
2016,Texas,10.9,9.9,11.9
2016,Utah,7.7,7.1,8.3
2016,Vermont,7.3,6.5,8.1
2016,Virginia,9.6,8.9,10.2
2016,Washington,8.6,8.1,9.1
2016,West Virginia,12.7,11.9,13.5
2016,Wisconsin,8.6,7.7,9.5
2016,Wyoming,7.6,6.7,8.6
2016,Guam,11.3,9.3,13.7
2016,Puerto Rico,13.7,12.7,14.8
2016,Virgin Islands of the U.S.,11.9,9.8,14.4
